BuId,Rim,TotalCards
854918,1046362,1
854766,1046377,2
854845,104661,1
854849,1046873,1
854926,10469,1
854703,1046929,2
854931,1047400,1
854710,1047607,1
854712,1047700,1
854861,1047767,1
854939,1047973,1
854867,1048244,1
854947,1048342,1
854872,1048500,1
854726,1048583,2
854957,1049156,1
952803,1049203,1
854806,1049256,1
959238,1049259,1
854882,1049263,1
854883,1049300,1
854808,1049326,1
854811,1049771,1
854964,1049849,2
854813,1049999,1
854814,1050045,1
854815,1050087,2
854816,1050128,1
855047,1050280,1
855199,1050310,1
855048,105034,1
855049,1050415,1
855131,105078,1
854983,1050798,2
855054,1050801,1
854984,1050821,1
855055,1050841,1
855207,1050856,1
854989,1051220,1
855062,1051390,2
855064,1051523,2
855216,1051543,1
855142,1051550,1
855065,1051578,2
854995,10516,1
855219,1051690,1
855078,1052515,1
855081,1052687,1
855011,1052718,1
855160,105275,1
855235,1052864,1
946133,1053016,1
855164,1053038,1
855016,1053039,2
855017,1053077,1
855240,1053102,2
855090,1053185,1
855242,1053190,2
855020,1053214,1
855169,1053271,1
855021,1053282,1
855092,1053322,3
855244,105334,2
855024,1053510,1
855174,1053650,1
855098,1053775,1
850679,1053804,2
855101,1054038,1
850889,1054102,1
855254,1054141,1
855181,1054142,2
855033,1054213,1
855105,105422,1
855259,1054352,1
855260,1054380,1
855187,1054395,1
855112,1054530,2
855191,1054598,1
855042,1054636,1
855194,1054747,1
855268,1054772,1
956697,1054823,1
956852,1054938,1
855424,1055147,1
855281,1055330,1
855353,1055405,1
855285,1055608,2
950765,1055709,1
950492,1055777,1
855288,1055797,1
855593,1056179,1
945646,1056226,1
855295,1056236,2
855297,1056342,1
855299,1056521,1
855453,1056946,1
855608,1056966,1
854433,1043065,1
854581,1043095,2
854509,1043383,2
854439,1043439,1
854510,1043504,1
854589,1043900,2
854666,1043979,1
854591,1044097,1
854663,1044216,1
854744,1044857,1
854822,1045013,1
854900,1045023,1
854676,1045034,1
854901,1045043,1
854677,1045057,1
854749,1045164,1
854903,1045169,2
954665,1045392,1
854683,1045567,1
850969,1045598,1
854689,1045973,1
854690,1046052,1
953981,1046160,1
854765,1046281,1
854841,1046289,1
854920,1046501,1
952536,1046504,1
854922,1046637,1
854698,1046703,1
854771,1046761,1
854847,1046784,1
854851,1046967,1
854854,1047376,1
854780,1047447,1
854782,1047611,1
854935,1047661,1
854783,1047676,1
854859,1047677,1
854936,1047682,1
854784,1047701,1
854860,1047738,3
854713,1047754,1
854788,1048020,1
854717,1048041,1
949922,1048117,1
854942,1048127,1
854793,1048284,1
854869,1048285,1
854724,1048426,1
854875,1048671,1
854728,1048696,1
854953,104881,1
854733,1049211,1
854959,1049267,1
854807,1049274,2
854884,1049333,1
854737,1049550,1
854809,1049563,1
854885,104957,1
851338,1049730,1
959299,1050033,1
854967,1050042,2
854892,1050130,1
855122,1050132,2
855045,1050152,1
854975,1050213,1
855046,1050214,1
855201,105044,1
855127,1050483,1
855128,105056,1
854980,1050573,1
855203,1050599,1
855130,1050712,1
855208,1050943,1
947848,1050952,1
855209,1051041,1
855059,1051185,1
855213,1051305,1
953202,1051524,1
855143,105159,1
855218,1051666,1
952609,1051862,1
958565,1051921,1
855149,1051943,1
855002,1052155,1
855074,1052216,1
855226,1052240,2
855004,105226,1
855228,1052387,2
855006,1052400,1
855232,1052645,1
855158,1052657,1
855084,105292,1
855085,1052963,1
855237,1052974,1
949975,1053135,1
855168,1053200,1
855171,105347,1
855023,1053473,1
855094,1053474,1
855172,1053500,1
855247,1053575,2
855173,1053578,1
855096,1053592,1
